"","vaccine","variable","antigen","virus","affinity","model_type","n","hl","hl_se","hl_t","I","I_se","I_t","Pr_t_I","Pr_t_hl","naive_2.5","naive_50","naive_97.5","naive_50_raw","naive_97.5_raw","naive_se"
"36406","Out","Alpha.Spike.R3av","Spike","Alpha","R3av","lm",70,3.6327761107521e-05,0.0014983102999479,0.0242458195133439,0.790500867884557,0.186230473223423,4.24474498830374,6.79022114927773e-05,0.980727540511393,0.94025870962622,1,1.10803904452028,3150.25,3490.6,144.35178753774
"36476","Out","Beta.Spike.R3av","Spike","Beta","R3av","lm",73,-0.000370132774998273,0.000517262758965962,-0.715560454686879,0.513121194389201,0.0649307803503969,7.90258782691596,2.53458089050378e-11,0.476609479180676,0.945642471223867,1,1.08585858585858,4257,4622.5,158.10626049277
"36549","Out","Delta.Spike.R3av","Spike","Delta","R3av","lm",68,-0.000416951739170598,0.00202302864310197,-0.206102736405784,1.50769462093964,0.24960061580099,6.04042829021602,7.88518640650162e-08,0.837345113497807,0.947939189189189,1,1.32608108108108,2960,3925.2,365.696872953895
"36617","Out","Gamma.Spike.R3av","Spike","Gamma","R3av","lm",74,-0.000136196004083191,0.00156199489566377,-0.0871936294166409,0.91925691390246,0.194133017036196,4.73519099397226,1.06687571308885e-05,0.930759649797424,0.862179544909339,1,1.17467716393609,1254739,1473913.25,98793.8688710648
"36691","Out","HKU1.Spike.R3av","Spike","HKU1","R3av","lm",75,-0.00225833228195998,0.00168478981796101,-1.3404237477486,1.39019650052224,0.209962668349793,6.62116037793065,5.20842852872337e-09,0.184264469571873,0.859853531774156,1,10.3004583038035,5291.25,54502.3,14952.8440255892
"36766","Out","OC43.Spike.R3av","Spike","OC43","R3av","lm",74,-0.00197083967632976,0.00180154898210623,-1.09396952062086,1.55928430587119,0.224677300940354,6.94010609592082,1.42515437755442e-09,0.2776147957601,0.298243989039404,1,9.08459727528851,12955.5,117695.5,40513.3204876204
"36840","Out","Omicron.Spike.R3av","Spike","Omicron","R3av","lm",75,2.35152706382877e-05,0.000223796552148683,0.105074320459883,-0.170646108784897,0.0277158333967948,-6.15698998986734,3.64284787628539e-08,0.916605014865773,0.942567303940694,1,1.08672129015477,3844.5,4177.9,135.310494071492
"36915","Out","WT.Spike.R3av","Spike","WT","R3av","lm",75,-0.00183141490732878,0.00169615310405135,-1.07974622276394,1.01893442006528,0.207242424815683,4.91663046777948,5.25639798184546e-06,0.283809761480494,0.959485950773252,1,1.0558774413708,3443.25,3635.65,99.5121694819282
"36990","Out","Alpha.Spike.R3b","Spike","Alpha","R3b","lm",77,-9.65941037574376e-06,0.000326896644527913,-0.0295488208197835,0.113943121457991,0.0406031733080294,2.80626148585924,0.00638199075288471,0.976505372029246,0.961110168052962,1,1.11371583771856,2945.5,3280.45,119.493853453881
"37067","Out","Beta.Spike.R3b","Spike","Beta","R3b","lm",73,-0.000182231603676145,0.000327607893638517,-0.55624912346349,0.0905736591012746,0.0402152205107708,2.25222336097887,0.0274017093879763,0.579789481737393,0.952450090744102,1,1.05176043557169,4132.5,4346.4,111.410805322525
