"","vaccine","variable","antigen","virus","affinity","model_type","n","hl","hl_se","hl_t","I","I_se","I_t","Pr_t_I","Pr_t_hl","naive_2.5","naive_50","naive_97.5","naive_50_raw","naive_97.5_raw","naive_se"
"918","CoronaVac","Alpha.RBD.IgG2","RBD","Alpha","IgG2","lm",55,0.00164026579494151,0.0032129548374636,0.510516293542546,-0.0681434689323774,0.270024131571111,-0.252360663233656,0.801738441816851,0.611809651442298,0.206152346922203,1,10.4775572519084,15392.5,161275.8,41418.055176001
"973","CoronaVac","Beta.RBD.IgG2","RBD","Beta","IgG2","lm",54,0.00125567758598712,0.00340823179794232,0.368424937161029,-0.197203400784852,0.28728082366027,-0.686448187777613,0.49548023371666,0.7140520913278,0.112824191173694,1,8.0879824329596,39733.5,321363.85,84699.369792382
"1027","CoronaVac","Delta.RBD.IgG2","RBD","Delta","IgG2","lm",57,0.00125562868088424,0.0030199150003385,0.41578278883462,0.0396139611111815,0.256902431699596,0.154198466900863,0.878017684816218,0.679186799779244,0.206276467273167,1,8.98693824973834,15526.25,139533.45,36449.0113514724
"1084","CoronaVac","Gamma.RBD.IgG2","RBD","Gamma","IgG2","lm",58,0.00127587153101153,0.00240404254891919,0.53071919695645,-0.00426867229543035,0.198080509960604,-0.0215501883364464,0.982883372258978,0.597711910509215,0.334989926124916,1,6.11734656296714,11539.75,70592.6500000001,17625.8839715999
"1142","CoronaVac","Omicron.RBD.IgG2","RBD","Omicron","IgG2","lm",56,-0.00072724736037494,0.000681872400716252,-1.06654464913234,0.0154611737920422,0.0589626745125284,0.262219682534194,0.794149823033423,0.290922839851694,0.704807038920262,1,2.12243362935539,21338.5,45289.55,9206.54706975317
"1198","CoronaVac","WT.RBD.IgG2","RBD","WT","IgG2","lm",54,-0.00225328548667908,0.00140688207782584,-1.6016164554184,0.303141756574348,0.118402282064695,2.56026954285148,0.0134033341761657,0.115298667373422,0.64620561615224,1,3.32924112323047,4309,14345.7000000001,6261.00674889482
"1252","CoronaVac","Alpha.RBD.IgG3","RBD","Alpha","IgG3","lm",62,-0.00385890102224951,0.00185104037010556,-2.08472007665043,0.903903270074768,0.156351863433002,5.78121200622657,2.84098585214951e-07,0.0413588332366095,0.655787344698064,1,3.01748627564289,4326.25,13054.4,3961.36000709654
"1314","CoronaVac","Beta.RBD.IgG3","RBD","Beta","IgG3","lm",62,-0.00359343915493262,0.00168481334973057,-2.13284109809983,0.687696293936851,0.141656088269762,4.85468928541383,8.97248664021761e-06,0.0370382946052952,0.553206341196754,1,2.30105546444641,5945.25,13680.35,4250.72867023796
"1376","CoronaVac","Delta.RBD.IgG3","RBD","Delta","IgG3","lm",62,-0.00340960664024802,0.00173962848245536,-1.95996252914623,0.820986592529165,0.146941233322485,5.58717641036389,5.93812931811355e-07,0.0546494149981846,0.653580276041052,1,2.60443553143802,4238.5,11038.9,3708.77306325238
"1438","CoronaVac","Gamma.RBD.IgG3","RBD","Gamma","IgG3","lm",61,-0.00320170542894156,0.00149250732285227,-2.14518574208595,0.703030779426727,0.123932484091035,5.67269174488841,4.48528081339539e-07,0.0360652084139528,0.689442530258857,1,2.26347733898755,5659.5,12810.15,3532.37430107403
"1499","CoronaVac","Omicron.RBD.IgG3","RBD","Omicron","IgG3","lm",54,-0.00126110277973903,0.000751467653538539,-1.67818637808388,0.104451336229038,0.0643214496838592,1.62389586588017,0.110445262189493,0.0993116856405114,0.710968640227144,1,1.56712866061191,13735.75,21525.6875,3220.03098906897
"1553","CoronaVac","WT.RBD.IgG3","RBD","WT","IgG3","lm",60,-0.00446190801816516,0.00183029438189888,-2.43780894608661,0.661461130708573,0.148503511318441,4.45417838834922,3.89631874383861e-05,0.0178623390920801,0.648987784595974,1,2.05299076676034,4359.25,8949.50000000001,1703.38615668691
"1613","CoronaVac","Alpha.RBD.IgG4","RBD","Alpha","IgG4","lm",61,-0.000650377392427727,0.000454454520074724,-1.43111656656157,0.115487459551445,0.0394368389965852,2.92841572727077,0.00483516836233005,0.157672542444561,0.942992038511387,1,1.6041103499352,2700.5,4331.90000000002,1020.47851780575
"1674","CoronaVac","Beta.RBD.IgG4","RBD","Beta","IgG4","lm",61,-0.000825320273515716,0.000578099324401553,-1.42764441797279,0.14615582580704,0.0501805149519699,2.9126011549888,0.00505392655635632,0.158666013639435,0.899832186608492,1,1.82465178721263,2979.5,5436.55000000002,1260.2106106298
"1735","CoronaVac","Delta.RBD.IgG4","RBD","Delta","IgG4","lm",64,-0.000480943202203764,0.000397911618052831,-1.20866840872163,0.0943265894417024,0.0341619348595906,2.76116062598314,0.00756669289534288,0.231379793026845,0.921042865095565,1,1.55711634811654,2694.5,4195.65000000001,837.640269658859
"1799","CoronaVac","Gamma.RBD.IgG4","RBD","Gamma","IgG4","lm",59,-0.00065905788422492,0.000458718482623556,-1.43673714748872,0.126453020233424,0.0404456501707967,3.12649245838375,0.00278377322767514,0.156259175932388,0.90407072368421,1,1.61650219298246,3648,5897.00000000001,1173.49719635911
"1858","CoronaVac","Omicron.RBD.IgG4","RBD","Omicron","IgG4","lm",61,-0.000745224490051227,0.000454292490934265,-1.64040679721263,-0.0694438368839833,0.0393016704190257,-1.7669436475241,0.0824096626271436,0.106241887906493,0.528240434691476,1,1.23029941471437,15505.25,19076.1,3098.63408961984
"1919","CoronaVac","WT.RBD.IgG4","RBD","WT","IgG4","lm",58,-0.000473613073735432,0.000489145750358778,-0.968245299868285,0.0955071634954005,0.0401005912565647,2.38168965849763,0.0206563789644635,0.337085169179867,0.892157060664177,1,1.33560109013829,2476.75,3307.95,313.682697945759
"1977","CoronaVac","Alpha.RBD.IgM","RBD","Alpha","IgM","lm",61,-0.00255877959924891,0.00215037652140697,-1.18992165966113,-0.0497406598804596,0.178885343237724,-0.278058889455009,0.781939282641912,0.238843449975651,0.329161962218365,1,2.85395819641282,44505.75,127017.55,29926.3029236791
"2038","CoronaVac","Beta.RBD.IgM","RBD","Beta","IgM","lm",61,-0.000940328304639828,0.00202889133763734,-0.463469032173428,-0.0171627587527976,0.172381596370143,-0.0995625931897343,0.921029119864823,0.644733466985655,0.424901531900523,1,2.80493852370499,63662.75,178570.1,44227.3463450836
"2099","CoronaVac","Delta.RBD.IgM","RBD","Delta","IgM","lm",61,-0.00208437865383512,0.00197590001317893,-1.0549008755163,0.0362764283098306,0.164371005980698,0.220698462562738,0.826089188331957,0.295771436607361,0.400520602153127,1,2.64701819850591,33230.75,87962.4000000001,20600.8106786433
"2160","CoronaVac","Gamma.RBD.IgM","RBD","Gamma","IgM","lm",60,-0.00253872796244774,0.00187599591077761,-1.35326945430037,0.122503785250752,0.1548520708231,0.791102014972068,0.432107673435492,0.181220655343003,0.425834942881269,1,3.62994438567033,25757.75,93499.2000000001,23418.3738095387
"2220","CoronaVac","Omicron.RBD.IgM","RBD","Omicron","IgM","lm",59,-0.00212315677447245,0.000910290595652607,-2.33239449535377,0.260491431599963,0.0759548523260456,3.42955615898997,0.00113016634981914,0.0232349496034481,0.730515734265734,1,2.13353875291376,34320,73223.05,13758.7429108541
"2279","CoronaVac","WT.RBD.IgM","RBD","WT","IgM","lm",57,-0.00205065797265399,0.00176729723801334,-1.16033564051692,0.1399169660584,0.151045835905115,0.926321240304128,0.358326065663763,0.250924174446455,0.438740640872359,1,2.86652590877872,29483.25,84514.5,19071.3206671739
"2336","CoronaVac","Alpha.RBD.R2a","RBD","Alpha","R2a","lm",59,-0.00554406101796803,0.00266907262172736,-2.07714880922949,1.2553868145482,0.219399541616,5.72192086319583,4.08617999470525e-07,0.0423051432476265,0.43128295200005,1,14.6373514235264,20033.875,293242.86875,85019.2058657796
"2395","CoronaVac","Beta.RBD.R2a","RBD","Beta","R2a","lm",61,-0.00258869256312055,0.00115830723864522,-2.23489284772867,0.604630661637725,0.0969388482791479,6.23723793268735,5.2059325689339e-08,0.0292240574893386,0.474059644024796,1,3.57740929376648,189788.5,678951.143749999,190299.547635779
"2456","CoronaVac","Delta.RBD.R2a","RBD","Delta","R2a","lm",61,-0.00426149630918976,0.00266384308554558,-1.59975500520781,1.22705770894232,0.218228670148329,5.62280706796359,5.41370661754523e-07,0.114994772268399,0.374526501666144,1,6.14453684980016,26333.25,161805.625,45184.6436833481
"2517","CoronaVac","Gamma.RBD.R2a","RBD","Gamma","R2a","lm",62,-0.00579127515075217,0.00221338893455729,-2.61647424920849,0.998522484099016,0.184436106488513,5.4139208591524,1.14053092073063e-06,0.0112243434058417,0.436043893652845,1,6.77907807666706,25539,173130.875,49074.349997199
"2579","CoronaVac","Omicron.RBD.R2a","RBD","Omicron","R2a","lm",52,-0.000653858146874462,0.000440068456563134,-1.4858100759618,0.0809797951833126,0.035048776543435,2.31048850115942,0.0250254079761175,0.143607835958585,0.790631366041963,1,1.22117991243761,378473,462183.625,47660.4529830409
"2631","CoronaVac","WT.RBD.R2a","RBD","WT","R2a","lm",62,-0.0124416304189483,0.00238234149517187,-5.22243785962798,2.44022834201542,0.201796214676283,12.0925377412553,9.92885019364571e-18,2.33005320587069e-06,0.854988372426861,1,4.02845980113501,26123.25,105236.4625,22812.2448890176
"2693","CoronaVac","Alpha.RBD.R2b","RBD","Alpha","R2b","lm",58,-0.00106038639620339,0.00231324052118423,-0.458398677739116,0.366495167979767,0.194579808435691,1.88352106483286,0.064826313712574,0.648440074837054,0.90243674477602,1,30.6796848921824,3744.75,114887.75,30070.3302513174
"2751","CoronaVac","Beta.RBD.R2b","RBD","Beta","R2b","lm",58,-0.00238051870827653,0.00127686242635341,-1.86435019086203,0.537830106263482,0.106839578892288,5.03399687493813,5.30250951031094e-06,0.0675170073595398,0.826386813937148,1,6.41557508399419,94463.375,606036.875,147706.516549636
"2809","CoronaVac","Delta.RBD.R2b","RBD","Delta","R2b","lm",55,-0.00145201487193941,0.00225982989800206,-0.642532817723649,0.415309734123036,0.189297438142921,2.19395327373355,0.0326449183798874,0.523297200846215,0.909808968974394,1,25.1764124102425,3690.5,92913.55,26170.3638332473
"2864","CoronaVac","Gamma.RBD.R2b","RBD","Gamma","R2b","lm",57,-0.00247393430525773,0.00170500027992719,-1.45098762409785,0.384679279215789,0.141458070314206,2.71938729519879,0.00873465603231332,0.152463241167693,0.936319874250909,1,20.0359367324885,5089.5,101972.9,27979.1721168356
"2921","CoronaVac","Omicron.RBD.R2b","RBD","Omicron","R2b","lm",55,-0.000106910636000088,0.000526849295025505,-0.202924511828211,-0.107444836694263,0.0438594019512857,-2.44975608225578,0.0176326219296296,0.839971073398518,0.603207615586278,1,1.19872980539351,1379591.75,1653757.75,234802.87373615
"2976","CoronaVac","WT.RBD.R2b","RBD","WT","R2b","lm",60,-0.00810640194698852,0.00237970142602504,-3.40647858522702,0.935464799302433,0.201795781112684,4.63570047968477,2.06548571451165e-05,0.00120109765843946,0.947444180911099,1,1.08674245522205,3056.75,3321.9,132.192397735041
"3036","CoronaVac","Alpha.RBD.R3av","RBD","Alpha","R3av","lm",59,-0.00202633156195286,0.00159869098904833,-1.26749420359159,0.405265103951586,0.132227289121423,3.064912747167,0.00332414395288721,0.21013235927959,0.951499644633973,1,14.633276474769,3517.5,51472.5500000001,13407.6683022143
"3095","CoronaVac","Beta.RBD.R3av","RBD","Beta","R3av","lm",61,-0.00174114583431798,0.000837632725374467,-2.07865068015291,0.409155141084264,0.0710182638802008,5.7612664507606,3.20842068702882e-07,0.0420070662287297,0.901133364138982,0.999999999999997,2.89837370494674,154192.5,446907.4875,79351.943154869
"3156","CoronaVac","Delta.RBD.R3av","RBD","Delta","R3av","lm",60,-0.00244458577561152,0.00188611979774222,-1.29609252738761,0.520074804741353,0.159743880453832,3.255679048636,0.00189102162953251,0.20007744928537,0.913131313131313,1,13.1207822909951,3489.75,45788.25,11331.6042641515
"3216","CoronaVac","Gamma.RBD.R3av","RBD","Gamma","R3av","lm",61,-0.00230113748842857,0.00144663114346057,-1.59068709313411,0.487540210517925,0.123512754785563,3.94728634596781,0.000213063695209947,0.117024527513665,0.944067881207886,1,10.2583678562516,5008.75,51381.6,12170.3155562522
"3277","CoronaVac","Omicron.RBD.R3av","RBD","Omicron","R3av","lm",63,-0.000363744533236828,0.000434328814362504,-0.837486533723817,-0.0362052759134857,0.0361072220034622,-1.00271563151588,0.319959201917855,0.405588491034016,0.690422879370569,1,1.27661309633157,2080800.25,2656376.85,367679.463140635
"3340","CoronaVac","WT.RBD.R3av","RBD","WT","R3av","lm",60,-0.0100574713329639,0.00267257162643754,-3.76321862938067,1.33662250194305,0.229595784191009,5.82163347054779,2.67764307934732e-07,0.000393170720779671,0.911280563613759,1,1.16104434314132,3016.25,3502,231.98199820359
"3400","CoronaVac","Alpha.RBD.R3b","RBD","Alpha","R3b","lm",63,0.000201088346552348,0.000458465495711208,0.438611735089037,0.0272512641324678,0.0397571803942141,0.68544257571228,0.495661397931022,0.66249245396712,0.95344054430184,1,3.13190041750426,3233.5,10127,2721.85073718007
"3463","CoronaVac","Beta.RBD.R3b","RBD","Beta","R3b","lm",63,-0.000571107153439739,0.000410803491477712,-1.39021981382241,0.0643081420140965,0.034898959492231,1.84269511039183,0.0702342878309797,0.169514237654408,0.830728395555733,1,1.40456164219119,149946,210608.4,24892.6205239093
"3526","CoronaVac","Delta.RBD.R3b","RBD","Delta","R3b","lm",63,0.00011652435868465,0.000485445563563221,0.240035891623665,0.0325728564449655,0.0419504564875255,0.776460119203983,0.440477783621729,0.811107248201839,0.932952589579095,1,3.00361445783133,3195.5,9598.05000000001,1909.27545207441
"3589","CoronaVac","Gamma.RBD.R3b","RBD","Gamma","R3b","lm",64,0.000327334226838619,0.000701918390885577,0.466342285782877,0.027281742331285,0.0613024355794863,0.445035210646905,0.657844206666038,0.642604926830627,0.93209659032024,1,2.19030987667116,4824.5,10567.15,1953.61931293246
"3653","CoronaVac","Omicron.RBD.R3b","RBD","Omicron","R3b","lm",59,-0.00102381468882431,0.000715077801974771,-1.43175286101306,-0.160636450889885,0.0572280359326912,-2.80695376438949,0.00683363407196098,0.157675383969616,0.460578846254507,1,1.24264030335427,2058517.25,2557996.5,495358.635722362
"3712","CoronaVac","WT.RBD.R3b","RBD","WT","R3b","lm",63,-0.00152494705294386,0.00186897377021905,-0.815927477015973,0.261416403887344,0.158774794401804,1.64646035204926,0.104812026927864,0.417716382262346,0.94364269446391,0.999999999999998,1.12988130693763,2854,3224.68125,124.316404731568
"3775","CoronaVac","Alpha.Spike.C1q","Spike","Alpha","C1q","lm",49,-0.00064848412383525,0.000935439331371337,-0.693240172919161,0.14398732283632,0.0854386618228803,1.68527127841508,0.0985657325076866,0.491570610527983,0.83499793537731,0.999999999999999,1.26602405285434,2421.75,3065.99375,259.314085224592
"3824","CoronaVac","Beta.Spike.C1q","Spike","Beta","C1q","lm",56,-0.000805852485568142,0.000722484932191148,-1.11539002360113,0.194225628029939,0.0668826966872455,2.90397423623886,0.00532784917454375,0.269622573739172,0.879523073166762,0.999999999999998,1.30265117603971,3071.75,4001.41875,383.580825902443
"3880","CoronaVac","Delta.Spike.C1q","Spike","Delta","C1q","lm",55,-0.000252909618796515,0.000585080286293076,-0.432264810012465,0.114295180472202,0.0529496630575399,2.15856294209085,0.0354324515016448,0.667302669479001,0.881788279519367,1,1.33784990266497,1862.125,2491.24375,254.224014314866
"3935","CoronaVac","Gamma.Spike.C1q","Spike","Gamma","C1q","lm",46,-0.00154186979306818,0.000653924172297834,-2.35787245430946,0.0738493250416861,0.053262323237659,1.38652091295693,0.172573537181237,0.022890380409067,0.730611009355742,1,1.32161351847535,700345.25,925585.75,120742.21647268
"3981","CoronaVac","HKU1.Spike.C1q","Spike","HKU1","C1q","lm",61,-0.000321406752374115,0.000306048968418696,-1.05018080614606,0.0757145308341554,0.0269246398005597,2.81209076128779,0.00667280939818932,0.297917658271537,0.901601219293527,1,1.18800609646764,3485.625,4140.94375,298.602716681001
"4042","CoronaVac","OC43.Spike.C1q","Spike","OC43","C1q","lm",58,-0.000489253131873798,0.00031055137041648,-1.5754338202329,0.0731593339763658,0.0264435024827245,2.76662798447977,0.00765993516034733,0.120789441714273,0.849900389587391,0.999999999999998,1.1075039844165,2823.5,3127.0375,212.389591811081
"4100","CoronaVac","Omicron.Spike.C1q","Spike","Omicron","C1q","lm",63,-0.000371051201890579,0.000281254360046876,-1.319272710399,0.0943027478737847,0.0248272237961969,3.79836056773412,0.000338132265100768,0.192008688571011,0.922229249781064,1,1.15948233920405,2569.25,2979,161.87437050984
"4163","CoronaVac","WT.Spike.C1q","Spike","WT","C1q","lm",63,-0.000185744499602351,0.000273457597195371,-0.679244246667051,0.0714452366471704,0.0242018617772366,2.95205539576997,0.00447572479699829,0.499552433016956,0.916534446764092,0.999999999999998,1.17432933194155,2395,2812.51875,175.200622329135
"4226","CoronaVac","Alpha.Spike.IgA1","Spike","Alpha","IgA1","lm",60,-0.00211094872947178,0.00131184973008046,-1.60913912704186,0.342546655473456,0.108408592666949,3.15977402756092,0.00250870995689387,0.113016060998362,0.646372214088173,1,1.76085082153897,6147,10823.95,2221.19899792874
"4286","CoronaVac","Beta.Spike.IgA1","Spike","Beta","IgA1","lm",62,-0.00137299102202056,0.00100355383428867,-1.36812891855846,0.287471238163529,0.0845677682880443,3.39930027696107,0.00120601164145088,0.176373669682969,0.798241324921136,1,1.3335094637224,6340,8454.45,1058.0055187357
"4348","CoronaVac","Delta.Spike.IgA1","Spike","Delta","IgA1","lm",62,-0.00129989956488906,0.00120737020519129,-1.07663710707778,0.25378702488622,0.101513523968817,2.50003167030412,0.0151695550244012,0.285952419536453,0.615756200356621,1,1.98182849732534,6169,12225.9,2533.49032643471
"4410","CoronaVac","Gamma.Spike.IgA1","Spike","Gamma","IgA1","lm",60,-0.00039380980930783,0.000524895176849304,-0.750263722504906,-0.0401013367821866,0.0448310365831866,-0.894499432503109,0.374751780250492,0.45612875900717,0.807851746918495,1,1.30185529374486,93886.75,122226.9625,15796.6964556213
"4470","CoronaVac","HKU1.Spike.IgA1","Spike","HKU1","IgA1","lm",60,-0.000715600268488327,0.00171599512528644,-0.417017658117693,0.298613586532868,0.145354680253453,2.05437888901946,0.0444543607974209,0.678204982329985,0.6460590236908,1,3.87252338048667,11681.75,45237.8500000001,13380.3619078188
"4530","CoronaVac","OC43.Spike.IgA1","Spike","OC43","IgA1","lm",60,-0.00199282725162066,0.00203563559543633,-0.978970526988406,0.307512009541542,0.17770741206428,1.73043997416556,0.0888695895312478,0.331660421048163,0.502819067145054,1,9.38376900734673,14632.5,137308.000000001,69519.007797153
"4590","CoronaVac","Omicron.Spike.IgA1","Spike","Omicron","IgA1","lm",59,-0.000253568020849002,0.000941769528799245,-0.269246363462514,0.012906349573445,0.0800341644182873,0.161260502527293,0.872458452973392,0.788712361706641,0.708185383544891,1,2.57202378442205,5928.25,15247.6,2804.12148891125
"4649","CoronaVac","WT.Spike.IgA1","Spike","WT","IgA1","lm",63,-0.00171200954746502,0.000925062536190351,-1.85069601295878,0.317653953283601,0.0785867711643806,4.0420792020983,0.000150935542093983,0.0690569122178174,0.940105467665834,1,1.17257840688315,3603,4224.8,258.518805914316
"4712","CoronaVac","Alpha.Spike.IgG1","Spike","Alpha","IgG1","lm",47,-0.00790624676626257,0.0051186500248051,-1.54459608059717,2.51535520740978,0.43081498388384,5.83859731324477,5.41804593401897e-07,0.129448166155327,0.411038449416955,1,11.2677986132997,6346,71505.45,19352.9705126377
"4759","CoronaVac","Beta.Spike.IgG1","Spike","Beta","IgG1","lm",49,-0.00635620250857485,0.00489632461559423,-1.2981579056934,2.21264585891284,0.43156357055731,5.12704502851222,5.46756591715929e-06,0.200567455473944,0.344082792643037,1,14.3466539760845,9324.5,133775.375,39278.4572335163
"4808","CoronaVac","Delta.Spike.IgG1","Spike","Delta","IgG1","lm",47,-0.00894694956592901,0.00481078822557594,-1.85976791045669,1.91804437574288,0.412334096242938,4.6516754088966,2.90525635852909e-05,0.0694628366636876,0.395675045120395,1,3.09436875467711,5679.25,17573.69375,5175.64328147558
"4855","CoronaVac","Gamma.Spike.IgG1","Spike","Gamma","IgG1","lm",50,-0.00813978773069901,0.00319855048479555,-2.54483640930223,2.10323488430223,0.273099650378992,7.70134594234552,6.24295997726594e-10,0.0142030284176829,0.537265871506255,1,4.07881710564594,11171.75,45567.525,11044.2316724366
"4905","CoronaVac","HKU1.Spike.IgG1","Spike","HKU1","IgG1","lm",49,0.00151657532704568,0.00508436744299807,0.298282007358502,-0.16604063527538,0.45314831407201,-0.366415652710549,0.715699308743138,0.766802672779672,0.0491933832763455,0.999999999999998,13.6569298750458,77538.375,1058936.15,292340.081946975
"4954","CoronaVac","OC43.Spike.IgG1","Spike","OC43","IgG1","lm",46,0.00220706049637151,0.0059250727900621,0.372495085642379,-0.659239688013458,0.522394201728115,-1.26195827946147,0.213612449202524,0.711312545615236,0.0146821757298681,0.999999999999998,5.15363862797567,373980.25,1927359.0625,526691.723516188
"5000","CoronaVac","Omicron.Spike.IgG1","Spike","Omicron","IgG1","lm",59,-0.00528909796814838,0.00254043732982718,-2.08196356826019,1.05249897955165,0.217418111288846,4.84089836542355,1.02529923431954e-05,0.0418463843810754,0.768355870087199,1,1.5561986604322,7913,12314.2,1759.40333512357
"5059","CoronaVac","WT.Spike.IgG1","Spike","WT","IgG1","lm",50,-0.00793315392816539,0.00540374115241274,-1.46808548085677,2.66619418436267,0.469474095578296,5.67910819675464,7.72157659829713e-07,0.14860391949061,0.770440345135376,0.999999999999999,9.13863805415052,3361,30714.9624999999,11873.3473394721
"5109","CoronaVac","Alpha.Spike.IgG2","Spike","Alpha","IgG2","lm",57,-0.00218010130373292,0.00147394269063537,-1.47909502695328,0.279201925173665,0.122680090927353,2.275853588493,0.0267716892569447,0.144819929658137,0.677220970228917,1,6.90019125845091,4215.5,29087.7562499998,17995.27753138
"5166","CoronaVac","Beta.Spike.IgG2","Spike","Beta","IgG2","lm",55,-0.00254700147669382,0.00184164805458498,-1.38300120392319,0.339600982112369,0.153586260860857,2.21114167510097,0.0313621245118362,0.172463519262572,0.664682866556837,1,12.7578253706756,4856,61952.0000000008,47630.2425941483
"5221","CoronaVac","Delta.Spike.IgG2","Spike","Delta","IgG2","lm",54,-0.000679673132528699,0.000885993622138117,-0.767130953932245,0.1042494990978,0.0715096001519279,1.45783921146691,0.150898251762346,0.446472830683749,0.7131579965939,1,1.72315954482118,3229.5,5564.94375,1004.62490815537
"5275","CoronaVac","Gamma.Spike.IgG2","Spike","Gamma","IgG2","lm",57,-0.000647013632370291,0.000695536413065678,-0.930236893735706,0.0421894166654454,0.0562343316134156,0.750243053575841,0.456305919985945,0.356313597411593,0.685102535530663,0.999999999999998,1.47294098097863,6394.125,9418.16875,1494.96552006626
"5332","CoronaVac","HKU1.Spike.IgG2","Spike","HKU1","IgG2","lm",60,0.000151811512565548,0.00230292071452967,0.0659212936023953,0.0318705942818185,0.197015506453299,0.161766933250876,0.872051610519887,0.947667190766768,0.310270588235294,1,7.38898823529413,12750,94209.6000000001,26055.4365337973
"5392","CoronaVac","OC43.Spike.IgG2","Spike","OC43","IgG2","lm",61,0.00105606970961597,0.00203617848081166,0.518652819272995,0.170969209576515,0.179091887854814,0.954645191495863,0.343652286829878,0.605942764499471,0.433550565791813,1,10.6440310444932,8439.5,89830.3000000001,24272.5027785205
"5453","CoronaVac","Omicron.Spike.IgG2","Spike","Omicron","IgG2","lm",65,7.39211983970548e-05,0.000333391687007964,0.221724779824186,0.013934439938771,0.0292227187364585,0.476835850368237,0.635128891953436,0.825245289393574,0.867268156571639,0.999999999999998,1.34214509463266,4748.625,6373.34375,609.676116256715
"5518","CoronaVac","WT.Spike.IgG2","Spike","WT","IgG2","lm",62,-0.00196600672796573,0.00120750980193691,-1.62814970513047,0.279620596464721,0.101994754244979,2.74151939023361,0.00804711968733926,0.108733437595231,0.934249051147659,1,11.141984456895,2766.5,30824.3,6828.5423218459
"5580","CoronaVac","Alpha.Spike.IgG3","Spike","Alpha","IgG3","lm",60,-0.00421575302758536,0.00188050506142444,-2.2418195590455,0.681823214478028,0.152577425487097,4.46870310140139,3.70478014147182e-05,0.0288131350487062,0.723104851330204,1,2.39043505477309,3993.75,9546.80000000004,3266.50918777104
"5640","CoronaVac","Beta.Spike.IgG3","Spike","Beta","IgG3","lm",61,-0.00438061527976196,0.00168635848107366,-2.59767737935112,0.653249473790659,0.138150355696454,4.72853993388182,1.44932288113475e-05,0.0118329648603258,0.690989978000489,1,2.70830603764362,5113.75,13849.6000000001,4315.01410960596
"5701","CoronaVac","Delta.Spike.IgG3","Spike","Delta","IgG3","lm",58,-0.00384168877028269,0.00112015718178773,-3.42959794638062,0.501333892047674,0.090976440369654,5.51059032438137,9.36655534038009e-07,0.00114124442909936,0.735960972587889,1,1.55535078209695,3228.5,5021.45000000001,821.064553963675
"5759","CoronaVac","Gamma.Spike.IgG3","Spike","Gamma","IgG3","lm",60,-0.00419200078039057,0.00108565712599275,-3.86125663436998,0.601804906433425,0.0891373426397686,6.75143423184045,7.656014071289e-09,0.000286426187550484,0.744957062481492,1,1.78534794196032,4221.25,7536.4,1071.44035488087
"5819","CoronaVac","HKU1.Spike.IgG3","Spike","HKU1","IgG3","lm",61,-6.10011855638331e-05,0.00116535713000039,-0.0523454861977055,0.161261408290378,0.0962544097164818,1.67536644570752,0.0991550223085311,0.958430241258609,0.678440460218726,1,2.92523478472985,6149.25,17988,4610.75235909279
"5880","CoronaVac","OC43.Spike.IgG3","Spike","OC43","IgG3","lm",58,-0.000257199543171377,0.00148441632655827,-0.173266447269354,0.18012754112095,0.124046424092306,1.45209781288748,0.152054438437333,0.863066767564339,0.582174780231957,1,3.57862894289725,6768.5,24221.95,5340.66300738289
"5938","CoronaVac","Omicron.Spike.IgG3","Spike","Omicron","IgG3","lm",64,-0.00101623858350223,0.000528931298126818,-1.9213054457189,0.149667044087006,0.0445830571770493,3.35703860533037,0.00135006256893039,0.0592934172916296,0.899054964153813,1,1.14868563980013,4603,5287.4,308.145209552987
"6002","CoronaVac","WT.Spike.IgG3","Spike","WT","IgG3","lm",63,-0.00454250720927916,0.00155799757002532,-2.91560609379213,0.774737601258118,0.132356455612691,5.85341755845443,2.05805267052914e-07,0.00495979883683077,0.927697907188353,1,1.43506824385805,2747.5,3942.85,359.768587830806
"6065","CoronaVac","Alpha.Spike.IgG4","Spike","Alpha","IgG4","lm",60,-0.000381300120046951,0.00030334673270924,-1.25697783734638,0.0641176632506749,0.0253020392641994,2.53409073399854,0.0139968158001884,0.213800121154896,0.930072429686765,1,1.27201580284075,2657.75,3380.7,266.843066138176
"6125","CoronaVac","Beta.Spike.IgG4","Spike","Beta","IgG4","lm",61,-0.000287253238270944,0.000340011739299578,-0.844833295646449,0.0639610286411045,0.0283435368731403,2.25663539901109,0.0277491696707669,0.401616849114973,0.914531274868693,1,1.22805984402355,3141.5,3857.95,297.045841393554
"6186","CoronaVac","Delta.Spike.IgG4","Spike","Delta","IgG4","lm",62,-0.000411441734683597,0.000306988190429414,-1.34025264655319,0.0712902201438194,0.0261788189052082,2.72320231107281,0.00845410756325069,0.18521652227745,0.92014018179827,1,1.30699813821049,2282.75,2983.55,260.215546807237
"6248","CoronaVac","Gamma.Spike.IgG4","Spike","Gamma","IgG4","lm",64,-0.000303261145857181,0.000302507147343358,-1.00249249817879,0.0232128357844099,0.0264939966662953,0.876154552172207,0.384328037513894,0.32000241300017,0.879957453274579,1,1.31185230208175,3290.5,4316.65,350.699303927978
"6312","CoronaVac","HKU1.Spike.IgG4","Spike","HKU1","IgG4","lm",65,-6.52386228222483e-05,0.000454201913121131,-0.143633527155245,0.0538280254963216,0.0399647257600891,1.34688839902105,0.182841406836427,0.88624831461296,0.911417049089139,1,1.42903629536921,3595.5,5138.10000000001,951.603741144908
